ID,Name,URL,Description,Year,Contributors
1,APiCS,,"APiCS (Atlas of Pidgin and Creole Language Structues) is a collection edited by Susanne Maria Michaelis, Philippe Maurer, Martin Haspelmath, Magnus Huber (https://apics-online.info). It was published by MPI-EVA in 2013, as well as in book form by Oxford University Press. In addition to the four editors, there are over 80 data contributors.",2013,"Susanne Maria Michaelis, Philippe Maurer, Martin Haspelmath, Magnus Huber"
2,SAILS,https://sails.clld.org/,"SAILS (South American Indigenous Language Structures Online) is a collection edited  by Muysken, Pieter, Harald Hammarström, Olga Krasnoukhova, Neele Müller, Joshua Birchall, Simon van de Kerke, Loretta O'Connor, Swintha Danielsen, Rik van Gijn and George Saad (https://sails.clld.org/). It was published by by MPI-SHH in 2016.",2016,"Pieter Muysken, Harald Hammarström, Olga Krasnoukhova, Neele Müller, Joshua Birchall, Simon van de Kerke, Loretta O'Connor, Swintha Danielsen, Rik van Gijn, George Saad"
3,WALS,http://wals.info,"WALS (World Atlas of Language Structures) is a collection edited by Matthew Dryer, Martin Haspelmath, David Gil, and Bernard Comrie. It was originally published in 2005 as a book (plus CD-ROM) by Oxford University Press, and online by MPI-EVA since 2008 (subsequent editions in 2011 and 2013) (http://wals.info).",2013,"Matthew Dryer, Martin Haspelmath, David Gil, Bernard Comrie, Leon Stassen, Anna Siewierska, Dik Bakker, and many others"
4,Grambank,http://grambank.clld.org/,"Grambank is a dataset collection edited by Hedvig Skirgård and colleagues and published by MPI-EVA in 2023 (http://grambank.clld.org/). The database is described in the release paper (Skirgård et al. 2023). In addition to the feature contributors (called ""patrons""), there were dozens of data contributors who collected the data from reference materials.",2023,"Hedvig Skirgård, Hannah Haynie, Jakob Lesage, Jay Latarche, Alena Witzlack-Makarevich"
9,ATLAs Zurich,https://atlas.evolvinglanguage.ch,David Inman et al. (https://atlas.evolvinglanguage.ch),2025,
10,CrossGram/Nichols1992,https://crossgram.clld.org/contributions/nicholsdiversity,"The CrossGram contribution ""Linguistic diversity in space and time"" is based on the data from Nichols (1992) (Linguistic diversity in space and time, a book published by The University of Chicago Press). (https://crossgram.clld.org/contributions/nicholsdiversity)",1992,Johanna Nichols
11,CrossGram/Haspelmath1997i,https://crossgram.clld.org/contributions/haspelmathindefpro,"The CrossGram contribution ""Indefinite pronoun markers"" is based on the data from Haspelmath (1997) (Indefinite pronouns, a book published by Oxford University Press). (https://crossgram.clld.org/contributions/haspelmathindefpro)",,Martin Haspelmath
